,distance,duration,end_latitude,end_longitude,start_latitude,start_longitude,polyline
0,96,16,13.0482271,78.47675149999999,13.0474183,78.4764405,"[(13.04742, 78.47644), (13.04779, 78.47659), (13.04823, 78.47675)]"
1,98,21,13.0485532,78.47590699999999,13.0482271,78.47675149999999,"[(13.04823, 78.47675), (13.04823, 78.47674), (13.04834, 78.47643), (13.04849, 78.47606), (13.04855, 78.47591)]"
2,2298,408,13.0685049,78.4776674,13.0485532,78.47590699999999,"[(13.04855, 78.47591), (13.04881, 78.47608), (13.04907, 78.47623), (13.04933, 78.47636), (13.04949, 78.47644), (13.04985, 78.47662), (13.05012, 78.47676), (13.05035, 78.47684), (13.05047, 78.47688), (13.05086, 78.47701), (13.05117, 78.47708), (13.05127, 78.47711), (13.05136, 78.47715), (13.05158, 78.47722), (13.05174, 78.47727), (13.05202, 78.47738), (13.05227, 78.47744), (13.05239, 78.47748), (13.05251, 78.4775), (13.05277, 78.47751), (13.05305, 78.47752), (13.05316, 78.47752), (13.05339, 78.47751), (13.05362, 78.4775), (13.0538, 78.47749), (13.05402, 78.47746), (13.05417, 78.47745), (13.0543, 78.47748), (13.05443, 78.47752), (13.05458, 78.47758), (13.05476, 78.47765), (13.05485, 78.47768), (13.05496, 78.4777), (13.05507, 78.47771), (13.0554, 78.47773), (13.05562, 78.47775), (13.05563, 78.47775), (13.05583, 78.47773), (13.05606, 78.47775), (13.0563, 78.47775), (13.05655, 78.47775), (13.05679, 78.47777), (13.05698, 78.4778), (13.05711, 78.47783), (13.05732, 78.47787), (13.05748, 78.47791), (13.0576, 78.47795), (13.0577, 78.47796), (13.05776, 78.47796), (13.05781, 78.47796), (13.05796, 78.47791), (13.05811, 78.47786), (13.05822, 78.47779), (13.05831, 78.47775), (13.05842, 78.47771), (13.05853, 78.47768), (13.05882, 78.47759), (13.05898, 78.47756), (13.05914, 78.47755), (13.05942, 78.47754), (13.05979, 78.47756), (13.06021, 78.47751), (13.06038, 78.47748), (13.0607, 78.47741), (13.06084, 78.47737), (13.06099, 78.47732), (13.0612, 78.47727), (13.06136, 78.47725), (13.06149, 78.47725), (13.06161, 78.47725), (13.06175, 78.47726), (13.0618, 78.47726), (13.0619, 78.47727), (13.0621, 78.47729), (13.06227, 78.47732), (13.06244, 78.47736), (13.06261, 78.47738), (13.06269, 78.47738), (13.06293, 78.47737), (13.06315, 78.47736), (13.06327, 78.47736), (13.0634, 78.47733), (13.06366, 78.47725), (13.06387, 78.47721), (13.06409, 78.47714), (13.06424, 78.47707), (13.0644, 78.47701), (13.06456, 78.47697), (13.06461, 78.47695), (13.06467, 78.47694), (13.06477, 78.47689), (13.0649, 78.47683), (13.06498, 78.47679), (13.06507, 78.47677), (13.06517, 78.47677), (13.06529, 78.47679), (13.06547, 78.47683), (13.06553, 78.47684), (13.06571, 78.47687), (13.06587, 78.4769), (13.06603, 78.47691), (13.06621, 78.47692), (13.06632, 78.47693), (13.06654, 78.47699), (13.0667, 78.47705), (13.06673, 78.47706), (13.06692, 78.47713), (13.06721, 78.47724), (13.06743, 78.4773), (13.06768, 78.47737), (13.06784, 78.47742), (13.06812, 78.47753), (13.06828, 78.47758), (13.06837, 78.4776), (13.06843, 78.47762), (13.0685, 78.47767)]"
3,2316,317,13.0677305,78.49853569999999,13.0685049,78.4776674,"[(13.0685, 78.47767), (13.0684, 78.47799), (13.06822, 78.47853), (13.06813, 78.47889), (13.06807, 78.47919), (13.06805, 78.47935), (13.06804, 78.47937), (13.06801, 78.47947), (13.06793, 78.47963), (13.06784, 78.47984), (13.06776, 78.48006), (13.06771, 78.48022), (13.06767, 78.48032), (13.06765, 78.48043), (13.06763, 78.48059), (13.0676, 78.4808), (13.06756, 78.4811), (13.06755, 78.48113), (13.06754, 78.48125), (13.06751, 78.48139), (13.06745, 78.48172), (13.06743, 78.48185), (13.06738, 78.48202), (13.0673, 78.48227), (13.06724, 78.48251), (13.06721, 78.48267), (13.0672, 78.48276), (13.0672, 78.48284), (13.06721, 78.48304), (13.06719, 78.48325), (13.06718, 78.48365), (13.06716, 78.48385), (13.06714, 78.48399), (13.06712, 78.48423), (13.06711, 78.48447), (13.06709, 78.48469), (13.06704, 78.48491), (13.06703, 78.485), (13.06705, 78.48509), (13.06709, 78.48523), (13.06716, 78.48541), (13.06723, 78.48564), (13.0673, 78.48591), (13.06736, 78.48619), (13.06741, 78.4864), (13.06744, 78.4866), (13.06747, 78.48685), (13.06749, 78.48713), (13.0675, 78.48721), (13.06749, 78.4873), (13.06748, 78.48751), (13.06748, 78.48775), (13.06749, 78.48788), (13.06751, 78.48803), (13.06751, 78.48812), (13.0675, 78.48821), (13.06748, 78.48831), (13.06747, 78.48839), (13.06746, 78.48846), (13.06744, 78.48856), (13.0674, 78.48872), (13.06733, 78.48899), (13.06731, 78.48912), (13.0673, 78.48921), (13.06729, 78.48936), (13.06728, 78.48944), (13.06729, 78.48951), (13.0673, 78.48956), (13.06734, 78.48972), (13.0674, 78.48996), (13.06742, 78.49004), (13.06744, 78.49012), (13.06742, 78.49027), (13.06742, 78.49034), (13.06739, 78.49059), (13.06737, 78.49079), (13.06731, 78.49105), (13.06726, 78.49132), (13.06723, 78.49154), (13.06722, 78.49168), (13.06721, 78.49182), (13.06721, 78.49183), (13.0672, 78.49216), (13.06717, 78.49256), (13.06715, 78.49277), (13.06713, 78.49292), (13.0671, 78.4931), (13.06705, 78.49335), (13.067, 78.49356), (13.06696, 78.49379), (13.06693, 78.49399), (13.06689, 78.49426), (13.06686, 78.49451), (13.06684, 78.49474), (13.06683, 78.49483), (13.06681, 78.49503), (13.0668, 78.49529), (13.0668, 78.4955), (13.06683, 78.49569), (13.06687, 78.49589), (13.06694, 78.4962), (13.06704, 78.49652), (13.06718, 78.49696), (13.06746, 78.49774), (13.06762, 78.49825), (13.06768, 78.49842), (13.06773, 78.49854)]"
4,3148,239,13.0708821,78.5263118,13.0677305,78.49853569999999,"[(13.06773, 78.49854), (13.06768, 78.49865), (13.06767, 78.49869), (13.06765, 78.49876), (13.06764, 78.49884), (13.06764, 78.49888), (13.06765, 78.49894), (13.06768, 78.49904), (13.06773, 78.49917), (13.06777, 78.49925), (13.06778, 78.49931), (13.06778, 78.49937), (13.06778, 78.49938), (13.06776, 78.49943), (13.06773, 78.4995), (13.06767, 78.49973), (13.06757, 78.50001), (13.06751, 78.50025), (13.06743, 78.50058), (13.06739, 78.50078), (13.06735, 78.50097), (13.06734, 78.50104), (13.06731, 78.50126), (13.06729, 78.50141), (13.06728, 78.50154), (13.06729, 78.50161), (13.0673, 78.50167), (13.0673, 78.5017), (13.06731, 78.50177), (13.06733, 78.50185), (13.06736, 78.50192), (13.06739, 78.50199), (13.06742, 78.50206), (13.06746, 78.50214), (13.06753, 78.50227), (13.06761, 78.50244), (13.06769, 78.50259), (13.06782, 78.50285), (13.06789, 78.50302), (13.06793, 78.50314), (13.06795, 78.50329), (13.06798, 78.5035), (13.06799, 78.50388), (13.06801, 78.50405), (13.06803, 78.5042), (13.06808, 78.50441), (13.06816, 78.50469), (13.06823, 78.50497), (13.0683, 78.50518), (13.06831, 78.50521), (13.06836, 78.50539), (13.06843, 78.50556), (13.06851, 78.50574), (13.06856, 78.50582), (13.0686, 78.50589), (13.06874, 78.50612), (13.06891, 78.50638), (13.06903, 78.50658), (13.06908, 78.50667), (13.06918, 78.50684), (13.06933, 78.50709), (13.06947, 78.50735), (13.06956, 78.5075), (13.06961, 78.50763), (13.06964, 78.50769), (13.06969, 78.50782), (13.06973, 78.50793), (13.06981, 78.50814), (13.06988, 78.5083), (13.06993, 78.50843), (13.06999, 78.50861), (13.07003, 78.50874), (13.07005, 78.50886), (13.07015, 78.50931), (13.07016, 78.50938), (13.07026, 78.50978), (13.07033, 78.51006), (13.07035, 78.51016), (13.07036, 78.51026), (13.07036, 78.51038), (13.07036, 78.51045), (13.07036, 78.51057), (13.07036, 78.5107), (13.07035, 78.51084), (13.07034, 78.51101), (13.07033, 78.51103), (13.07033, 78.51114), (13.07033, 78.51128), (13.07032, 78.51154), (13.07031, 78.51179), (13.0703, 78.51194), (13.07029, 78.51202), (13.07029, 78.51229), (13.07029, 78.51248), (13.0703, 78.51276), (13.07031, 78.51306), (13.07032, 78.51325), (13.07033, 78.51342), (13.07033, 78.51344), (13.07033, 78.51365), (13.07033, 78.51395), (13.07034, 78.51424), (13.07034, 78.51434), (13.07034, 78.51453), (13.07034, 78.51483), (13.07034, 78.51514), (13.07034, 78.51547), (13.07034, 78.51557), (13.07034, 78.51566), (13.07035, 78.5161), (13.07035, 78.51654), (13.07035, 78.51659), (13.07034, 78.51689), (13.07036, 78.51733), (13.07037, 78.51748), (13.07037, 78.51768), (13.07039, 78.51784), (13.07041, 78.51802), (13.07045, 78.51821), (13.07053, 78.51842), (13.07068, 78.51875), (13.07086, 78.519), (13.07113, 78.51942), (13.07132, 78.51974), (13.0714, 78.51989), (13.07144, 78.51999), (13.07152, 78.52014), (13.07153, 78.52023), (13.07154, 78.52033), (13.07153, 78.52038), (13.0715, 78.52045), (13.07148, 78.52051), (13.07142, 78.52065), (13.07132, 78.52097), (13.07125, 78.52119), (13.07119, 78.52141), (13.0711, 78.52166), (13.07109, 78.52171), (13.07087, 78.52236), (13.07072, 78.52277), (13.07062, 78.52317), (13.07059, 78.52357), (13.07059, 78.52378), (13.0706, 78.52395), (13.07061, 78.52409), (13.07062, 78.52416), (13.07066, 78.52442), (13.07084, 78.52515), (13.07091, 78.52541), (13.07095, 78.52557), (13.07096, 78.52576), (13.07096, 78.52584), (13.07096, 78.52599), (13.07091, 78.52617), (13.07088, 78.52631)]"
5,13,22,13.0707823,78.5262552,13.0708821,78.5263118,"[(13.07088, 78.52631), (13.07078, 78.52626)]"
6,284,43,13.0682988,78.52644889999999,13.0707823,78.5262552,"[(13.07078, 78.52626), (13.07068, 78.52627), (13.07038, 78.52624), (13.07013, 78.52623), (13.06996, 78.52623), (13.06947, 78.52636), (13.06925, 78.52642), (13.06906, 78.52647), (13.06893, 78.52652), (13.06888, 78.52654), (13.06884, 78.52654), (13.06881, 78.52654), (13.06877, 78.52653), (13.06869, 78.52649), (13.06862, 78.52646), (13.06859, 78.52644), (13.06857, 78.52644), (13.06854, 78.52644), (13.06851, 78.52643), (13.06846, 78.52644), (13.0683, 78.52645)]"
7,616,116,13.0632139,78.52505719999999,13.0682988,78.52644889999999,"[(13.0683, 78.52645), (13.06827, 78.52644), (13.06825, 78.52643), (13.06817, 78.5264), (13.06811, 78.52638), (13.06805, 78.52636), (13.06798, 78.52634), (13.06791, 78.5263), (13.06784, 78.52626), (13.06779, 78.52622), (13.06773, 78.5262), (13.06769, 78.52618), (13.06763, 78.52616), (13.06755, 78.52613), (13.06748, 78.5261), (13.0674, 78.52608), (13.06737, 78.52607), (13.06734, 78.52606), (13.06733, 78.52606), (13.06729, 78.52605), (13.06721, 78.52603), (13.06709, 78.526), (13.06698, 78.52598), (13.06686, 78.52597), (13.06673, 78.52594), (13.06662, 78.52591), (13.06661, 78.52591), (13.06649, 78.52587), (13.06644, 78.52586), (13.06637, 78.52584), (13.06628, 78.52583), (13.06621, 78.52583), (13.06614, 78.52582), (13.06602, 78.52584), (13.0659, 78.52586), (13.06585, 78.52588), (13.06579, 78.52589), (13.06568, 78.52591), (13.0656, 78.52593), (13.06554, 78.52596), (13.06546, 78.52599), (13.06538, 78.52601), (13.06529, 78.52603), (13.0652, 78.52603), (13.06516, 78.52604), (13.0651, 78.52603), (13.065, 78.52602), (13.06489, 78.52602), (13.06484, 78.52602), (13.06479, 78.52601), (13.06471, 78.52599), (13.06461, 78.52596), (13.06453, 78.52595), (13.06443, 78.52593), (13.06435, 78.5259), (13.0643, 78.52589), (13.06426, 78.52587), (13.06422, 78.52584), (13.06418, 78.5258), (13.06413, 78.52575), (13.06409, 78.5257), (13.06405, 78.52563), (13.06402, 78.52558), (13.06399, 78.52553), (13.06396, 78.52548), (13.06393, 78.52546), (13.06389, 78.52544), (13.06385, 78.52541), (13.06377, 78.52537), (13.0637, 78.52534), (13.06363, 78.52531), (13.06357, 78.52528), (13.0635, 78.52525), (13.06346, 78.52524), (13.06342, 78.52522), (13.06338, 78.5252), (13.06333, 78.52515), (13.06328, 78.5251), (13.06321, 78.52506)]"
8,188,40,13.062006,78.5262561,13.0632139,78.52505719999999,"[(13.06321, 78.52506), (13.06267, 78.52567), (13.06261, 78.52574), (13.06254, 78.52582), (13.06245, 78.52591), (13.06237, 78.52599), (13.06232, 78.52603), (13.06226, 78.52608), (13.06212, 78.52617), (13.06201, 78.52626)]"
9,72,14,13.0615669,78.52674499999999,13.062006,78.5262561,"[(13.06201, 78.52626), (13.06199, 78.5263), (13.06196, 78.52633), (13.06194, 78.52636), (13.06193, 78.52637), (13.06188, 78.52642), (13.06183, 78.52647), (13.06173, 78.52656), (13.06166, 78.52665), (13.06158, 78.52673), (13.06157, 78.52674)]"
